time/s	Ewe/V	
3.363242515588936E+003	4.8515326E-001
3.363245315588865E+003	4.6785459E-001
3.363249915588749E+003	4.8253745E-001
3.363250715588729E+003	4.7123411E-001
3.363252515588683E+003	4.8446587E-001
3.363252715588678E+003	4.7153962E-001
3.363255115588618E+003	4.8591697E-001
3.363260315588486E+003	4.4383505E-001
3.363260515588481E+003	3.9440212E-001
3.363261115588466E+003	3.8166681E-001
3.363264715588375E+003	3.7087899E-001
3.363274315588133E+003	3.8229689E-001
3.363282915587915E+003	3.7021074E-001
3.363288515587774E+003	3.8086486E-001
3.363351115586192E+003	2.7905864E-001
3.363351315586187E+003	1.9149612E-001
3.363352115586167E+003	1.8097563E-001
3.363355315586086E+003	1.9436014E-001
3.363355915586071E+003	2.0682815E-001
3.363356915586046E+003	2.6109171E-001
3.363357115586041E+003	2.8927365E-001
3.363357315586036E+003	3.0195168E-001
3.363361115585940E+003	3.1226215E-001
3.363361715585925E+003	3.2314539E-001
3.363380315585455E+003	3.3328402E-001
3.363435315584065E+003	3.4328899E-001
3.363654315578533E+003	2.9246223E-001
3.363654515578528E+003	1.1684076E-001
3.363734515576507E+003	1.0441093E-001
3.366940915495506E+003	1.3053076E-001
3.366941115495501E+003	9.9771224E-002
3.376941115242880E+003	1.0028675E-001
3.386941114990259E+003	9.9312983E-002
3.396941114737638E+003	9.9618480E-002
3.406941114485016E+003	9.9790320E-002
3.416941114232395E+003	9.8167375E-002
3.426941113979774E+003	1.0001944E-001
3.436941113727153E+003	9.9370264E-002
3.446941113474531E+003	1.0066862E-001
3.456941113221910E+003	9.9828504E-002
3.466941112969289E+003	9.9790320E-002
3.476941112716668E+003	9.9637575E-002
3.486941112464046E+003	9.9389359E-002
3.496941112211425E+003	9.9160239E-002
3.506941111958804E+003	9.8950207E-002
3.516941111706183E+003	9.8129191E-002
3.526941111453561E+003	9.7976446E-002
3.536941111200940E+003	9.8377407E-002
3.546941110948319E+003	9.8415591E-002
3.556941110695698E+003	9.7823694E-002
3.566941110443076E+003	9.7728230E-002
3.576941110190455E+003	9.7174518E-002
3.586941109937834E+003	9.7441830E-002
3.596941109685213E+003	9.7861886E-002
3.606941109432591E+003	9.7212709E-002
3.616941109179970E+003	9.7441830E-002
3.626941108927349E+003	9.7709134E-002
3.636941108674728E+003	9.6296221E-002
3.646941108422106E+003	9.7441830E-002
3.656941108169485E+003	9.6410781E-002
3.666941107916864E+003	9.7174518E-002
3.676941107664243E+003	9.6716277E-002
3.686941107411621E+003	9.7002678E-002
3.696941107159000E+003	9.5780700E-002
3.706941106906379E+003	9.5284268E-002
3.716941106653758E+003	9.6678093E-002
3.726941106401136E+003	9.7174518E-002
3.727430306388778E+003	7.4147828E-002
3.727861106377895E+003	9.2668466E-002
3.728308906366583E+003	7.6267205E-002
3.728929906350895E+003	9.2324786E-002
3.729365906339881E+003	8.1307873E-002
3.729939106325401E+003	9.1331929E-002
3.739939106072779E+003	9.4921492E-002
3.749939105820158E+003	9.5761605E-002
3.759939105567537E+003	9.6143477E-002
3.769939105314916E+003	9.5857069E-002
3.779939105062294E+003	9.4787836E-002
3.789939104809673E+003	9.4921492E-002
3.799939104557052E+003	9.4883308E-002
3.809939104304431E+003	9.5895261E-002
3.819939104051809E+003	9.4692372E-002
3.829939103799188E+003	9.4520532E-002
3.839939103546567E+003	9.4635092E-002
3.849939103293946E+003	9.2382066E-002
3.854835303170257E+003	7.9379432E-002
3.855422503155423E+003	9.1064617E-002
3.855613103150608E+003	8.0983281E-002
3.856491303128423E+003	9.2477530E-002
3.866491302875802E+003	9.3470395E-002
3.876491302623181E+003	9.1771074E-002
3.886491302370559E+003	9.2573002E-002
3.896491302117938E+003	9.3374923E-002
3.906491301865317E+003	9.3031242E-002
3.916491301612696E+003	9.2859402E-002
3.926491301360074E+003	9.3928635E-002
3.936491301107453E+003	9.3890451E-002
3.946491300854832E+003	9.1694705E-002
3.956491300602211E+003	9.2248410E-002
3.966491300349589E+003	9.2057474E-002
3.976491300096968E+003	9.1809265E-002
3.986491299844347E+003	9.2897587E-002
3.996491299591726E+003	9.2114754E-002
4.006491299339104E+003	9.1102809E-002
4.016491299086483E+003	9.1618329E-002
4.026491298833862E+003	9.0950057E-002
4.027206098815805E+003	7.9398528E-002
4.027500498808367E+003	9.0682752E-002
4.031306098712230E+003	7.9952233E-002
4.031776098700357E+003	9.0071760E-002
4.041776098447735E+003	9.0950057E-002
4.051776098195114E+003	9.1179177E-002
4.061776097942493E+003	9.0472721E-002
4.071776097689872E+003	9.1160089E-002
4.081776097437250E+003	9.0682752E-002
4.091776097184629E+003	9.1904730E-002
4.101776097007998E+003	8.6119421E-002
4.111776096886926E+003	9.0969153E-002
4.121776096765854E+003	9.0816401E-002
4.131776096644782E+003	8.9193463E-002
4.141776096523710E+003	9.0167224E-002
4.151776096402638E+003	9.0644561E-002
4.161776096281566E+003	9.0281785E-002
4.171776096160494E+003	8.7685078E-002
4.181776096039423E+003	8.9288928E-002
4.191776095918351E+003	8.8315167E-002
4.201776095797279E+003	8.9269832E-002
4.211776095676207E+003	8.9594424E-002
4.221776095555135E+003	8.9346208E-002
4.231776095434063E+003	8.9346208E-002
